id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
23001006462,230010,CE,Abaiara,CRAS I - SEDE,,,JOAQUIM LEITE DA CUNHA - 268,268,,PRÓXIMO A SECRETARIA DE EDUCAÇÃO,CENTRO,63240000,"-7.361759279684845\,-39.051960110664375",2024-05-09T04:00:00.239Z
23001020547,230010,CE,Abaiara,CRAS II,,,"CE 393, SITIO BREJINHO",0,"",PRÓXIMO A CAPELA SÃO JOSÉ,Vila São José,63240000,"-7.348506467038435\,-39.03356552124024",2024-05-09T04:00:01.789Z
23001502777,230015,CE,Acarapé,CRAS sede,,,CHICO VIEIRA - 0,0,sem complemento,PROX DO FORUM,Centro,62785000,"-4.22419842902805\,-38.710482716560364",2024-05-09T03:59:59.143Z
23002002823,230020,CE,Acaraú,CRAS II,,,Avenida Padre Antônio Tomás - 2540,2540,,ANTIGO PÓLO DE CONVIVÊNCIA SOCIAL.,MORADA NOVA,62580000,"-2.898135500030274\,-40.1173425274211",2024-05-09T04:00:00.788Z
23002002825,230020,CE,Acaraú,CRAS SAMUEL ANDERSON FERREIRA DOS SANTOS,,,SANTO ANTONIO - 1178,1178,,vizinho ao INSS,CENTRO,62580000,"-2.882828119583409\,-40.12209981679917",2024-05-09T04:00:00.788Z
23003002787,230030,CE,Acopiara,CRAS I - Raimunda Isabel Duarte,,,Francisco Pereira de Souza - 45,45,,Antiga Facomel,Vila Esperança,63560000,"-6.100272082894467\,-39.46581924741258",2024-05-09T04:00:00.318Z
23003020283,230030,CE,Acopiara,CRAS II -Antônio Francisco do Nascimento,,,Cicero Mandu - 170,170,,Vizinho ao Fórum Municipal,Vila Nova,63560000,"-6.0895114\,-39.448395300000016",2024-05-09T04:00:00.318Z
23003020335,230030,CE,Acopiara,CRAS III- Maria Ramos Barros,,,Manoel Ferreira de Andrade - 815,815,,Próximo a padaria do Valcides,Vila Moreira,63560000,"-6.106845115475744\,-39.44653987884522",2024-05-09T04:00:00.318Z
23004001073,230040,CE,Aiuaba,CRAS ARMANDO ARRAES FEITOSA,,,Francisco Lourenço Neto - 00,00,,,Caiçara,63575000,"-6.568030379201691\,-40.122338533401496",2024-05-09T03:59:59.912Z
23005001425,230050,CE,Alcântaras,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,,,Praça Gregório Cunha Freire - 146,146,,Praça Gregório Cunha,Bela Vista,62120000,"-3.5947498296529354\,-40.55017232894898",2024-05-09T04:00:00.625Z
23006004153,230060,CE,Altaneira,CRAS SUSTENTABILIDADE E CIDADANIA,,,JOÃO GONÇALVES - 614,614,,Ao lado do ginásio Poliesportivo,SANTA TEREZA,63195000,"-6.997985007674863\,-39.73559349775315",2024-05-09T04:00:00.159Z
23006020225,230060,CE,Altaneira,CRAS SÃO ROMÃO,,,SÃO ROMÃO - 0,0,,Perto da capela.,ZONA RURAL,63195000,"-6.975800137369958\,-39.663949012756355",2024-05-09T04:00:00.159Z
23007004095,230070,CE,Alto Santo,CRAS Casa do Cidadão,,,Aderson Bessa - 00,00,,Por trás Escola Estadual Francisco Nonato Freire,Dom Pompeu,62970000,"-5.514734546328907\,-38.26737642288209",2024-05-09T03:59:59.384Z
23007502442,230075,CE,Amontada,CRAS - Centro de Referência de Assistência Social,,,Antonio Tomé - 00,00,Zona Urbana,Próximo Comercial Gobério,Flores,62540000,"-3.3666044889686177\,-39.82190966606141",2024-05-09T04:00:00.625Z
23007520531,230075,CE,Amontada,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - REGIÃO PRAIANA,,,Principal - 00,00,Zona Praiana,padaria do Lopim,Distrito de Sabiaguaba,62540000,"-3.090465067793019\,-39.56623077392579",2024-05-09T04:00:00.625Z
23008002349,230080,CE,Antonina do Norte,CRAS - Centro de Referência de Assistência Social,,,ANANIAS DE MATOS ARRAIS - 250,250,Casa,Na saída para Assaré,Serraria I,63570000,"-6.773958597203261\,-39.98162420463564",2024-05-09T03:59:59.912Z
23009002056,230090,CE,Apuiarés,Centro de Referência da Assistência Social - CRAS SEDE,,,José Lopes Filho - 369,369,Centro,Prox a pousada Princesa do Vale,Centro,62630000,"-3.9475952947685435\,-39.43186283111573",2024-05-09T03:59:59.063Z
